flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,protocolIdentifier,packetTotalCount
1438318803244,17,18c9:6b77:a40e:6838:4e15:bec3:80:4bc4,1e12:41cf:f13a:e18b:37e:a216:9a17:bbb7,6,30
1438318803262,0,203.133.215.230,201.126.50.225,1,1
1438318803262,0,201.126.50.225,94.20.223.79,1,1
1438318803262,0,220.200.197.194,201.126.50.225,1,1
1438318803262,0,201.126.50.225,135.121.198.8,1,1
1438318803262,0,201.126.50.225,47.97.214.42,1,1
1438318803262,0,213.99.116.151,134.138.170.171,6,1
1438318803262,0,201.126.50.225,99.76.110.118,1,1
1438318803262,0,103.25.53.67,182.55.158.31,6,1
1438318803262,0,201.126.50.225,202.185.78.107,1,1
1438318803262,0,201.126.50.225,89.223.181.138,1,1
1438318803262,0,201.126.50.225,41.241.90.248,1,1
1438318803262,0,201.126.50.225,2.37.8.150,1,1
1438318803262,0,201.126.50.225,48.185.199.39,1,1
1438318803262,0,201.126.50.225,65.104.104.87,1,1
1438318803263,0,171.35.136.25,201.126.50.225,1,1
1438318803263,0,201.126.50.225,204.196.62.101,1,1
1438318803263,0,176.48.178.221,201.126.50.225,1,1
1438318803263,0,201.126.50.225,164.228.7.103,1,1
1438318803263,0,103.222.118.93,201.126.50.225,1,1
1438318803263,0,201.126.50.225,107.214.135.199,1,1
1438318803263,0,201.126.50.225,76.163.131.189,1,1
1438318803263,0,201.126.50.225,74.139.87.159,1,1
1438318803263,0,126.48.162.215,145.182.98.113,6,1
1438318803263,0,24.185.113.162,201.126.50.225,1,1
1438318803263,0,201.126.50.225,166.183.242.232,1,1
1438318803263,0,201.126.50.225,122.79.154.205,1,1
1438318803263,0,201.126.50.225,75.117.33.213,1,1
1438318803263,0,201.126.50.225,72.132.8.146,1,1
1438318803263,0,201.126.50.225,84.56.222.64,1,1
1438318803263,0,201.126.50.225,69.211.108.56,1,1
1438318803263,0,67.57.124.199,182.55.73.239,6,1
1438318803263,0,201.126.50.225,127.3.57.85,1,1
1438318803263,0,23.50.175.173,201.126.50.225,1,1
1438318803263,0,217.216.165.220,201.126.50.225,1,1
1438318803251,12,200.15.135.204,182.55.12.181,6,36
1438318803249,14,200.60.128.246,195.185.149.214,17,2
1438318803264,0,0.221.207.33,145.182.67.186,6,1
1438318803264,0,85.11.242.147,200.60.74.180,6,1
1438318803264,0,19.156.216.97,201.126.50.225,1,1
1438318803264,0,201.126.50.225,190.64.138.41,1,1
1438318803264,0,201.126.50.225,82.153.244.57,1,1
1438318803264,0,201.126.50.225,123.142.131.101,1,1
1438318803264,0,201.126.50.225,121.25.49.109,1,1
1438318803264,0,201.126.50.225,4.41.159.71,1,1
1438318803264,0,92.119.181.190,145.182.83.241,6,1
1438318803264,0,201.126.50.225,85.126.118.100,1,1
1438318803264,0,201.126.50.225,68.29.243.154,1,1
1438318803264,0,92.103.11.234,201.126.50.225,1,1
1438318803264,0,1e12:92d2:4cbe:f94b:40ed:4148:b1e0:2f2,1e12:4c65:fcf2:6604:2f25:af0c:a320:88e,17,1
1438318803264,0,112.163.224.178,200.60.74.88,6,2
1438318803265,0,94.217.113.109,201.126.50.225,1,1
1438318803265,0,63.206.155.92,134.138.254.114,17,1
1438318803265,0,83.74.121.168,182.55.14.147,6,1
1438318803265,0,76.154.224.82,201.126.50.225,1,1
1438318803265,0,212.81.177.90,201.126.50.225,1,1
1438318803265,0,112.120.9.254,134.215.207.21,17,1
1438318803265,0,186.163.63.194,145.182.90.169,6,1
1438318803265,0,221.211.27.169,145.182.64.207,6,1
1438318803265,0,162.64.17.186,201.126.60.249,17,1
1438318803265,0,201.126.50.225,111.2.234.109,1,1
1438318803265,0,201.126.50.225,9.144.120.81,1,1
1438318803265,0,78.70.163.243,201.126.50.225,1,1
1438318803265,0,201.126.50.225,169.14.182.196,1,1
1438318803265,0,201.126.50.225,209.158.166.220,1,1
1438318803265,0,201.126.50.225,143.244.234.184,1,1
1438318803265,0,123.207.143.60,134.138.232.121,6,1
1438318803265,0,200.60.74.88,112.163.224.178,6,1
1438318803265,0,201.126.50.225,168.104.100.43,1,1
1438318803257,8,193.177.59.65,182.55.159.24,6,2
1438318803265,0,201.126.50.225,170.64.110.242,1,1
1438318803265,0,201.126.50.225,126.10.254.127,1,1
1438318803265,0,103.25.53.67,182.55.158.11,6,1
1438318803266,0,201.126.50.225,85.137.73.171,1,1
1438318803266,0,201.126.50.225,174.171.47.246,1,1
1438318803266,0,12.7.114.200,136.67.170.100,6,1
1438318803266,0,201.126.50.225,23.117.34.4,1,1
1438318803266,0,201.126.50.225,166.150.49.152,1,1
1438318803266,0,201.126.50.225,213.152.194.225,1,1
1438318803266,0,201.126.50.225,74.208.117.19,1,1
1438318803266,0,201.126.50.225,92.140.120.161,1,1
1438318803266,0,201.126.50.225,169.48.192.66,1,1
1438318803266,0,201.126.50.225,212.233.64.68,1,1
1438318803266,0,134.215.207.21,214.34.208.49,1,1
1438318803266,0,163.52.110.36,134.138.124.101,6,1
1438318803266,0,20.213.44.67,201.126.41.117,6,1
1438318803266,0,15.231.225.194,145.187.219.163,17,1
1438318803266,0,12.31.0.74,134.138.169.81,6,1
1438318803266,0,201.126.50.225,56.107.57.14,1,1
1438318803266,0,201.126.50.225,168.3.5.125,1,1
1438318803266,0,201.126.50.225,154.232.136.15,1,1
1438318803266,0,201.126.50.225,143.243.106.197,1,1
1438318803266,0,201.126.50.225,23.129.214.251,1,1
1438318803266,0,201.126.60.249,162.64.17.186,17,1
1438318803266,0,201.126.50.225,69.22.67.217,1,1
1438318803266,0,201.126.50.225,77.214.3.8,1,1
1438318803266,0,201.126.50.225,73.170.254.45,1,1
1438318803266,0,201.126.50.225,205.26.57.199,1,1
1438318803267,0,78.211.75.62,201.126.50.225,1,1
1438318803267,0,201.126.50.225,51.92.174.137,1,1
1438318803267,0,165.107.194.119,201.126.50.225,1,1
1438318803267,0,201.126.50.225,88.253.4.2,1,1
1438318803267,0,110.129.55.15,134.138.171.69,6,1
1438318803267,0,201.126.43.205,29.210.45.243,17,1
1438318803267,0,68.213.243.84,201.126.50.225,1,1
1438318803267,0,2.16.18.25,201.126.50.225,1,1
1438318803267,0,103.25.53.67,182.55.158.22,6,1
1438318803267,0,201.126.50.225,76.13.93.158,1,1
1438318803268,0,201.126.50.225,87.97.48.145,1,1
1438318803268,0,201.126.50.225,161.145.145.156,1,1
1438318803268,0,201.126.50.225,214.226.26.191,1,1
1438318803268,0,201.126.50.225,99.105.165.215,1,1
1438318803268,0,201.126.50.225,93.128.34.203,1,1
1438318803268,0,201.126.50.225,106.15.183.50,1,1
1438318803268,0,201.126.50.225,48.35.154.251,1,1
1438318803268,0,201.126.50.225,199.250.125.230,1,1
1438318803268,0,172.147.184.218,201.126.50.225,1,1
1438318803268,0,201.126.50.225,78.91.198.136,1,1
1438318803268,0,134.215.207.21,214.213.13.17,1,1
1438318803268,0,201.126.50.225,192.91.93.86,1,1
1438318803268,0,201.126.50.225,104.70.70.83,1,1
1438318803268,0,201.126.50.225,23.113.67.235,1,1
1438318803268,0,213.155.2.154,134.215.206.150,6,1
1438318803268,0,201.126.50.225,84.59.47.49,1,1
1438318803268,0,201.126.50.225,91.173.194.252,1,1
1438318803268,0,145.187.80.241,222.138.47.77,6,1
1438318803268,0,201.126.50.225,72.11.207.40,1,1
1438318803268,0,201.126.50.225,117.81.16.240,1,1
